name,group,pass,head pass,air duel,foul,dribbling,corner,cross,kick,defense,acceleration,id
Bogdan Sorin Stancu,Forward,2,3,4,2,2,0,1,2,2,3,33235
Gregor Kobel,Goalkeeper,0,0,0,0,0,0,0,0,0,0,328190
Denis Lemi Zakaria Lako Lado,Midfielder,27,14,10,63,23,0,3,8,54,14,360992
Marten de Roon,Midfielder,42,32,23,53,10,0,3,11,65,7,625
Alex Iwobi,Midfielder,32,3,4,12,27,0,12,21,18,24,230020
Lorenzo Pellegrini,Midfielder,24,11,12,27,17,21,16,16,36,20,328333
Mohamed Salim Fares,Forward,23,29,30,72,26,1,27,14,59,34,328336
Ot\u00e1vio Henrique Passos Santos,Midfielder,23,15,7,23,5,4,2,5,40,2,295569
Hern\u00e1n Dar\u00edo Toledo,Forward,4,2,1,10,14,0,10,1,8,7,393881
Maya Yoshida,Defender,33,45,27,26,4,0,0,8,39,1,703
Bryan Passi,Defender,0,0,0,0,0,0,0,0,0,0,426692
Hamza Mendyl,Defender,8,7,3,11,6,0,11,1,18,12,426702
Anthony Caci,Midfielder,0,0,0,0,0,0,0,0,0,0,426714
Miguel \u00c1ngel Guerrero Mart\u00edn,Forward,8,11,22,35,17,0,1,11,11,5,5481
R\u00f3bert Maz\u00e1\u0148,Defender,2,1,0,2,0,0,1,0,2,0,786
Martin Terrier,Forward,11,10,23,30,17,2,7,21,23,24,394006
Th\u00e9odore Efouba Ayissi,Defender,0,0,0,0,0,0,0,0,0,0,394008
Tyronne Ebuehi,Defender,1,0,0,1,0,0,0,0,1,0,332821
Patrick Burner,Defender,14,4,4,11,8,0,5,1,16,23,328488
Samuel Grandsir,Forward,22,9,14,57,51,2,31,20,52,84,295761
V\u00edctor L\u00f3pez Ib\u00e1\u00f1ez,Defender,0,1,0,0,1,0,2,0,2,2,404285
Jean Micha\u00ebl Seri,Midfielder,71,17,7,23,23,36,7,15,33,6,131959
Gerard Gumbau Garriga,Midfielder,13,12,9,46,3,0,1,7,31,4,263091
Pablo Maffeo Becerra,Defender,19,30,24,32,30,1,42,11,55,18,263105
Artur J\u0119drzejczyk,Defender,5,14,7,7,3,0,5,0,13,4,99381
Maciej Rybus,Defender,1,2,2,2,1,0,1,0,4,0,99391
Marcin Kami\u0144ski,Defender,21,19,11,8,1,0,3,2,21,2,99410
Karim Onisiwo,Midfielder,2,1,3,8,6,0,1,1,6,3,66654
Artjoms Rud\u0146evs,Forward,0,0,0,0,0,0,0,0,0,0,99425
\u0141ukasz Skorupski,Goalkeeper,0,0,0,0,0,0,0,0,0,0,99430
Pawe\u0142 Olkowski,Defender,2,6,2,9,3,0,5,1,12,5,99437
Arkadiusz Milik,Forward,7,3,13,13,11,5,3,18,8,4,99452
Pr\u00e9juce Niguimb\u00e9 Nakoulma,Forward,8,7,14,35,23,0,2,11,11,27,99453
Gianluca Pegolo,Goalkeeper,0,0,0,0,0,0,0,0,1,0,20771
Mariusz St\u0119pi\u0144ski,Forward,3,3,13,23,10,0,2,8,12,4,99511
Duje \u0106aleta-Car,Defender,1,1,1,0,0,0,0,0,1,0,230626
Edvinas Gertmonas,Goalkeeper,0,0,0,0,0,0,0,0,0,0,240507
Hrvoje Mili\u0107,Defender,0,0,0,0,0,0,0,0,0,0,69874
Jonathan Klinsmann,Goalkeeper,0,0,0,0,0,0,0,0,0,0,492782
Francesco Vicari,Defender,30,28,17,25,3,0,0,4,39,0,263432
Alex Ferrari,Defender,21,19,21,20,12,0,7,4,51,9,263433
Emil Berggreen,Forward,3,8,20,20,11,0,1,5,3,0,230687
Igor Lewczuk,Defender,4,8,3,17,1,0,4,0,10,0,99633
Cheick Keita,Defender,1,0,1,8,1,0,0,0,5,0,361779
Carlos Calder\u00f3n L\u00f3pez,Midfielder,0,0,0,0,0,0,0,0,0,0,329026
Thiago Rangel Cionek,Defender,20,29,15,27,8,0,2,3,34,7,99661
Rodrigo Bentancur Colm\u00e1n,Midfielder,20,11,6,23,9,0,2,4,24,9,361807
Bernardo Fernandes da Silva Junior,Defender,17,20,18,30,10,0,8,5,28,9,296341
Rafa\u0142 Gikiewicz,Goalkeeper,0,0,0,0,0,0,0,0,1,0,99749
Alessandro Deiola,Midfielder,4,3,3,7,3,0,1,4,9,0,263591
Nadiem Amiri,Midfielder,21,8,6,43,23,7,14,20,33,23,263614
Yeray \u00c1lvarez L\u00f3pez,Defender,11,12,6,13,1,0,1,0,11,1,230857
\u00cd\u00f1igo Lekue Mart\u00ednez,Defender,23,21,14,25,23,0,29,8,42,32,230862
Ali Gabr,Defender,2,2,1,2,0,0,0,0,3,0,198120
Pere Pons Riera,Midfielder,25,32,15,63,22,0,3,6,60,12,230895
Federico Nicol\u00e1s Cartabia,Midfielder,13,14,7,20,28,8,16,14,25,26,230897
Bartosz Bereszy\u0144ski,Defender,34,25,14,30,17,0,23,2,54,12,99833
\u00d3lafur Ingi Sk\u00falason,Midfielder,0,0,0,0,0,0,0,0,0,0,38241
Dominik Kohr,Midfielder,23,19,14,49,10,0,4,17,32,12,165425
Piotr Zieli\u0144ski,Midfielder,39,17,9,14,22,2,10,18,25,31,99902
Jemerson de Jesus Nascimento,Defender,33,35,25,38,3,0,1,6,44,0,263766
Youri Tielemans,Midfielder,24,15,12,39,17,2,6,14,37,13,263802
Timothy Castagne,Defender,20,21,10,25,10,0,16,4,33,11,263803
Kenny Tete,Defender,22,14,9,20,13,0,21,3,35,11,1712
Viktor Fischer,Forward,3,1,3,4,6,2,1,3,4,2,1722
Riechedly Bazoer,Midfielder,6,3,3,12,5,0,1,3,10,5,1729
Oussama Tannane,Forward,8,2,2,23,15,12,4,10,18,10,1751
Presnel Kimpembe,Defender,50,22,16,35,10,0,2,5,29,7,231138
Kingsley Coman,Forward,17,10,8,10,47,0,35,14,12,46,231139
Gabriel Barbosa Almeida,Forward,0,0,0,0,0,0,0,0,0,0,263948
Mamadou Sissako,Forward,0,0,0,0,0,0,0,0,0,0,231184
\u015eener \u00d6zbayrakl\u0131,Defender,0,0,0,0,0,0,0,0,0,0,34592
Andrey Semenov,Defender,0,0,0,0,0,0,0,0,0,0,102629
Yoel Armougom,Defender,1,1,1,2,1,0,3,0,3,2,493412
K\u00e9vin Lucien Zohi,Forward,0,0,0,1,0,0,0,0,0,0,493415
Igor Zubeld\u00eda Elorza,Midfielder,23,26,15,21,7,0,3,8,34,3,395114
George Gope-Fenepej,Forward,0,0,0,2,1,0,1,0,1,1,132972
Pierluigi Gollini,Goalkeeper,3,0,1,0,0,0,0,0,1,0,264084
Ezequiel Ponce Mart\u00ednez,Forward,6,9,22,38,16,0,2,9,12,3,284322
Enrico Bearzotti,Midfielder,4,3,2,1,2,0,5,2,4,1,388099
Emiliano Viviano,Goalkeeper,8,1,2,1,0,0,0,0,11,0,20802
Maximiliano G\u00f3mez Gonz\u00e1lez,Forward,13,25,46,47,35,0,9,34,14,10,395636
Moctar El Hacen El Id,Midfielder,1,2,2,1,0,0,0,0,0,0,264778
Thomas Strakosha,Goalkeeper,10,0,2,0,0,0,0,0,16,0,166534
Marcus Coco,Midfielder,14,12,16,47,27,0,20,11,34,20,330387
Joel Pohjanpalo,Forward,0,1,2,2,1,0,0,2,1,0,35477
Miguel \u00c1ngel Trauco Saavedra,Defender,4,2,2,2,2,1,2,0,7,0,115146
Vincent Laurini,Defender,20,24,12,22,10,0,18,0,40,6,22313
Firmin Ndombe Mubele,Forward,8,10,8,20,38,1,17,18,16,19,264989
Anton\u00edn Bar\u00e1k,Midfielder,29,18,15,49,30,3,12,16,50,41,265172
Manuel Akanji,Defender,23,22,12,12,4,0,1,3,27,5,297957
Samuel  Castillejo Azuaga,Midfielder,22,8,14,43,41,37,19,24,56,43,134174
Filip Manojlovi\u0107,Goalkeeper,0,0,0,0,0,0,0,0,0,0,363560
Rub\u00e9n Sobrino Pozuelo,Forward,9,12,29,41,21,0,6,10,32,22,134249
Vasili Berezutski,Defender,6,3,2,1,0,0,0,1,5,2,101581
Julio C\u00e9sar Villalba Gaona,Forward,0,0,0,1,0,0,0,0,0,0,363648
Onyinye Wilfred Ndidi,Midfielder,42,70,50,68,21,0,4,18,100,11,265366
Abdullahi Shehu,Defender,1,1,0,1,0,0,0,0,1,0,265368
Tom\u00e1\u0161 Hubo\u010dan,Defender,2,4,3,3,1,0,1,0,7,3,101555
Bruno Eduardo Regufe Alves,Defender,1,2,2,3,0,0,0,0,1,0,101558
Achraf Hakimi Mouh,Defender,14,5,6,10,10,0,14,2,25,13,396475
Eloi Amagat Arimany,Midfielder,0,0,0,0,0,0,0,0,0,0,167104
Vicente Guaita Panadero,Goalkeeper,4,0,2,0,0,0,0,0,11,0,3267
Jordi Alba Ramos,Defender,72,26,12,41,14,1,39,8,56,19,3269
Antonio Barrag\u00e1n Fern\u00e1ndez,Defender,33,32,18,54,11,0,34,3,40,7,3270
Igor Akinfeev,Goalkeeper,1,0,0,0,0,0,0,0,3,0,101576
Adil Rami,Defender,50,62,36,40,5,0,1,5,45,12,3276
V\u00edctor Ru\u00edz Torre,Defender,35,30,28,29,3,0,1,2,34,3,3277
Sabin Merino Zuloaga,Forward,2,3,5,4,5,0,3,3,6,0,167119
\u00c9ver Maximiliano David Banega,Midfielder,62,14,7,45,43,54,13,16,46,29,3280
Juan Bernat Velasco,Defender,13,3,6,4,12,0,10,2,13,8,3281
Sergio Canales Madrazo,Midfielder,30,4,5,21,33,50,18,28,27,46,3282
Daniel Parejo Mu\u00f1oz,Midfielder,60,17,10,48,30,85,6,17,62,6,3286
Cristian Portugu\u00e9s Manzanera,Midfielder,14,13,24,55,47,0,33,19,36,58,3287
Keisuke Honda,Midfielder,1,0,2,0,1,2,0,2,1,1,101592
Mehmet Topal,Midfielder,3,4,4,0,1,0,0,0,2,1,3289
Aritz Aduriz Zubeldia,Forward,10,24,51,42,21,0,8,24,10,6,3290
Francisco Alc\u00e1cer Garc\u00eda,Forward,6,3,5,2,6,2,2,7,5,0,3291
Pablo Daniel Piatti,Forward,12,13,16,34,25,31,30,12,36,22,3293
Antonio Ad\u00e1n Garrido,Goalkeeper,16,0,3,0,1,0,0,0,11,0,3296
Fernando Pacheco Flores,Goalkeeper,5,0,2,0,0,0,0,0,15,0,3299
Dalbert Henrique Chagas Estev\u00e3o,Defender,7,5,4,9,5,0,7,3,13,3,298212
Ahmed Musa,Forward,1,1,2,5,4,0,2,2,2,5,101606
Jos\u00e9 Ignacio Fern\u00e1ndez Iglesias,Defender,31,25,15,39,7,0,11,5,38,5,3304
Sergio Ramos Garc\u00eda,Defender,69,40,44,46,7,0,5,15,44,9,3306
Ricardo Alberto Silveira de Carvalho,Defender,4,5,4,4,0,0,0,1,3,0,3307
Pedro Filipe Teod\u00f3sio Mendes,Defender,33,42,24,40,8,0,3,4,56,1,3308
Rapha\u00ebl Varane,Defender,42,40,27,22,6,0,0,4,28,6,3309
Marcelo Vieira da Silva J\u00fanior,Defender,49,13,10,28,29,6,71,16,41,16,3310
Niklas S\u00fcle,Defender,44,32,17,15,4,0,2,7,35,5,134383
Jos\u00e9 Mar\u00eda Callej\u00f3n Bueno,Forward,37,28,13,27,18,74,40,27,36,14,3313
Lassana Diarra,Midfielder,13,5,6,24,8,0,0,0,11,4,3315
Esteban F\u00e9lix Granero Molina,Midfielder,17,10,9,20,13,20,5,5,27,1,3317
Sami Khedira,Midfielder,35,12,9,17,10,0,6,18,21,18,3318
Mesut \u00d6zil,Midfielder,65,7,4,21,33,44,25,23,28,38,3319
Nuri \u015eahin,Midfielder,28,16,13,25,6,3,4,11,26,0,3320
Karim Benzema,Forward,23,4,8,21,23,1,10,24,12,19,3321
Cristiano Ronaldo dos Santos Aveiro,Forward,26,17,31,30,41,2,19,100,11,41,3322
Gonzalo Gerardo Higua\u00edn,Forward,19,7,11,18,50,0,9,44,22,29,3323
Juan Francisco Moreno Fuertes,Defender,35,38,16,23,25,1,62,10,60,34,3325
Oier Olaz\u00e1bal Paredes,Goalkeeper,4,0,3,1,0,0,0,0,11,0,3330
Felipe Salvador Caicedo Corozo,Forward,4,7,12,25,8,0,1,7,10,3,101635
Daniel Alves da Silva,Defender,48,17,10,41,19,3,35,12,52,18,3334
Marc Bartra Aregall,Defender,43,37,29,28,10,0,5,7,46,11,3335
Andreu Font\u00e0s Prat,Defender,19,7,6,7,1,0,0,0,17,1,3337
Sergi G\u00f3mez Sol\u00e0,Defender,41,37,22,15,2,0,1,4,44,4,3338
Mart\u00edn Montoya Torralbo,Defender,25,22,15,41,10,0,22,4,57,15,3339
Marc Muniesa Mart\u00ednez,Defender,15,19,11,11,4,0,1,1,25,4,3340
Alessio Cragno,Goalkeeper,4,0,2,1,0,0,0,0,14,0,134413
Rafael Alc\u00e2ntara do Nascimento,Midfielder,20,5,4,10,22,0,7,7,13,13,3344
Thiago Alc\u00e2ntara do Nascimento,Midfielder,39,10,10,27,16,6,2,11,22,5,3345
Sergio Busquets i Burgos,Midfielder,73,33,27,43,20,0,1,4,70,0,3346
Sergi Roberto Carnicer,Defender,43,22,9,14,23,0,17,3,45,41,3347
Filippo Costa,Defender,12,10,7,17,13,12,27,3,27,16,134420
Jonathan dos Santos Ram\u00edrez,Midfielder,1,0,0,0,0,0,0,0,1,1,3349
Andr\u00e9s Iniesta Luj\u00e1n,Midfielder,60,5,3,20,39,2,16,12,30,20,3353
Daniele Rugani,Defender,40,29,17,25,3,0,0,3,24,1,134427
Leonardo Capezzi,Midfielder,3,3,1,4,1,4,2,0,6,0,134429
Cristian Tello Herrera,Forward,18,10,3,14,19,2,12,14,24,23,3358
Lionel Andr\u00e9s Messi Cuccittini,Forward,55,8,6,22,100,24,12,90,18,73,3359
Alberto Grassi,Midfielder,19,22,21,23,20,0,4,15,29,18,134435
Artem Dzyuba,Forward,2,11,24,18,11,0,0,5,6,2,101669
Jos\u00e9 Andr\u00e9s Guardado Hern\u00e1ndez,Midfielder,41,20,12,35,23,25,18,15,43,19,3384
Alexandr Samedov,Midfielder,4,3,2,7,3,6,3,1,6,8,101699
Kepa Arrizabalaga Revuelta,Goalkeeper,9,1,2,1,0,0,0,0,12,0,3397
Ra\u00fal Fern\u00e1ndez-Cavada Mateos,Goalkeeper,1,0,1,0,0,0,0,0,6,0,3398
Gorka Iraizoz Moreno,Goalkeeper,1,0,0,0,0,0,0,0,3,0,3399
Riccardo Piscitelli,Goalkeeper,0,0,0,0,0,0,0,0,0,0,134475
Jon\u00e1s  Ramalho Chimeno,Defender,21,37,15,23,6,0,3,3,31,6,3407
Enric Saborit Teixidor,Defender,12,21,8,21,4,0,14,3,34,10,3408
Mikel San Jos\u00e9 Dom\u00ednguez,Midfielder,24,27,27,40,8,0,6,8,48,4,3409
Ander Iturraspe Derteano,Midfielder,27,41,18,29,8,20,6,3,34,1,3414
Javier Mart\u00ednez Aginaga,Midfielder,29,25,20,16,6,0,3,10,23,6,3416
Markel Susaeta Laskurain,Midfielder,21,14,8,22,28,43,26,11,39,29,3420
\u00d3scar de Marcos Arana,Defender,17,19,7,16,6,0,27,6,30,10,3421
Ibai G\u00f3mez P\u00e9rez,Midfielder,20,14,5,16,30,40,20,21,25,13,3423
Iker Muniain Go\u00f1i,Forward,12,4,2,5,15,3,3,7,9,12,3425
Sergio  Asenjo Andr\u00e9s,Goalkeeper,4,1,3,2,0,0,0,0,10,0,3428
Cl\u00e9ment Lenglet,Defender,43,41,29,57,6,0,1,5,61,4,134503
Diego Roberto God\u00edn Leal,Defender,35,35,32,55,6,0,0,7,51,5,3433
Filipe Luis Kasmirski,Defender,28,18,7,18,19,0,17,3,40,9,3434
Seko Fofana,Midfielder,24,12,4,26,22,0,3,16,22,30,134508
Cristian Daniel Ansaldi,Defender,18,10,5,27,30,2,28,8,38,21,101742
Jorge Resurrecci\u00f3n Merodio,Midfielder,60,21,9,25,24,49,16,13,55,11,3443
Eduardo Antonio Salvio,Midfielder,2,2,3,0,1,0,2,0,2,2,3445
Juan Francisco Torres Bel\u00e9n,Defender,17,10,6,39,9,0,22,2,37,5,3447
Arda Turan,Midfielder,3,0,3,1,3,0,0,2,3,3,3448
Radamel Falcao Garc\u00eda Z\u00e1rate,Forward,16,13,34,50,40,0,4,30,16,9,3450
Adri\u00e1n L\u00f3pez \u00c1lvarez,Forward,20,33,33,17,31,0,18,24,25,19,3451
Sergio Rico Gonz\u00e1lez,Goalkeeper,5,0,4,1,0,0,0,0,8,0,3458
Jorge And\u00fajar Moreno,Defender,13,17,12,24,10,0,12,4,29,8,3460
Federico Juli\u00e1n Fazio,Defender,48,54,48,24,9,0,2,7,37,2,3463
Antonio Manuel Luna Rodr\u00edguez,Defender,18,18,8,23,8,0,23,2,36,5,3464
Fernando Navarro i Corbacho,Defender,11,14,7,21,3,0,5,0,23,1,3465
Alexis Ruano Delgado,Defender,14,31,12,22,4,0,3,6,27,1,3466
Layvin Kurzawa,Defender,24,12,13,33,10,0,18,8,35,11,134540
Jos\u00e9 \u00c1ngel G\u00f3mez Campa\u00f1a,Midfielder,40,35,19,29,22,38,13,10,48,15,3470
Jes\u00fas Navas Gonz\u00e1lez,Midfielder,19,16,8,13,21,0,42,9,27,37,3474
Diego Perotti,Forward,20,10,5,13,44,24,38,15,18,45,3475
Ivan Rakiti\u0107,Midfielder,79,42,22,57,29,34,13,24,54,23,3476
Luis Alberto Romero Alconchel,Midfielder,42,8,8,18,36,84,16,33,33,60,3484
Ahmet Yilmaz \u00c7al\u0131k,Defender,0,0,0,0,0,0,0,0,0,0,134557
Andr\u00e9s Eduardo Fern\u00e1ndez Moreno,Goalkeeper,0,0,0,0,0,0,0,0,1,0,3486
Asier Riesgo Unamuno,Goalkeeper,0,0,0,0,0,0,0,0,1,0,3488
Lacina Traor\u00e9,Forward,3,14,32,27,15,0,1,3,8,3,101795
Marcos Danilo Ure\u00f1a Porras,Forward,0,0,1,4,1,0,0,1,2,0,101796
Sergio Postigo Redondo,Defender,23,27,17,14,3,0,3,3,30,1,3496
Ra\u00fal Garc\u00eda Escudero,Midfielder,16,50,56,84,25,0,18,32,54,7,3503
Masoud Shojaei Soleimani,Midfielder,0,0,0,3,1,0,0,0,2,0,3509
David Timor Copov\u00ed,Midfielder,11,17,10,15,3,0,1,5,15,0,3510
Enrique Sola Clemente,Forward,0,0,0,0,0,0,0,0,0,0,3517
Diego L\u00f3pez Rodr\u00edguez,Goalkeeper,1,0,0,0,0,0,0,0,4,0,3519
Igor Smolnikov,Defender,3,3,0,4,1,0,6,0,4,1,101825
Mateo Pablo Musacchio,Defender,25,16,10,11,2,0,1,1,21,0,3526
Bernardo Mota Veiga de Carvalho e Silva,Midfielder,27,17,4,11,26,7,26,11,30,38,265673
Cristian Eduardo Zapata Valencia,Defender,17,14,12,15,3,0,2,1,20,3,3531
Jaume Vicent Costa Jord\u00e1,Defender,33,30,18,55,14,0,29,5,48,19,3534
Jonathan  de Guzm\u00e1n,Midfielder,15,7,6,16,9,22,6,5,19,12,3535
Mubarak Wakaso,Midfielder,10,15,9,32,10,2,7,4,30,9,3538
Hern\u00e1n Arsenio P\u00e9rez Gonz\u00e1lez,Midfielder,5,5,5,12,9,4,6,3,15,7,3539
Bruno  Soriano Llido,Midfielder,2,0,0,0,0,0,0,1,0,0,3541
Manuel Trigueros Mu\u00f1oz,Midfielder,47,15,12,40,25,26,17,13,53,12,3542
Mehdi Carcela-Gonz\u00e1lez,Midfielder,0,0,0,0,0,0,1,0,0,1,101847
Giuseppe Rossi,Forward,3,1,1,2,4,1,1,5,2,1,3548
Wilfredo Daniel Caballero,Goalkeeper,2,0,1,0,0,0,0,0,1,0,3551
Rub\u00e9n Iv\u00e1n Mart\u00ednez Andrade,Goalkeeper,4,0,2,0,0,0,0,0,14,0,3554
Federico Santiago Valverde Dipetta,Midfielder,14,11,6,15,6,2,5,8,14,12,364005
\u00cdan Pino Soler,Defender,0,0,0,0,0,0,0,0,0,0,462312
Sergio S\u00e1nchez Ortega,Defender,1,0,0,2,0,0,1,0,2,0,3562
Francisco Rom\u00e1n Alarc\u00f3n Su\u00e1rez,Midfielder,53,3,7,21,52,32,38,25,25,45,3563
Ignacio Camacho Barnola,Midfielder,11,23,16,15,2,0,0,2,19,0,3566
Jos\u00e9 Luis Garc\u00eda del Pozo,Midfielder,23,22,13,42,20,20,5,11,39,14,3568
Eliseu Pereira dos Santos,Defender,3,2,1,1,1,0,5,0,3,0,3570
Joaqu\u00edn S\u00e1nchez Rodr\u00edguez,Midfielder,32,19,12,22,38,30,18,14,24,26,3571
Francisco Portillo Soler,Midfielder,26,18,13,28,28,4,11,7,41,7,3572
J\u00e9r\u00e9my Toulalan,Midfielder,26,25,12,22,6,0,1,0,30,7,3573
Juan Miguel Jim\u00e9nez L\u00f3pez,Forward,9,5,8,18,15,0,2,16,18,10,3576
Be\u00f1at Etxebarria Urkiaga,Midfielder,18,10,3,16,6,24,6,5,24,1,3595
Rub\u00e9n Castro Mart\u00edn,Forward,1,1,2,1,2,0,1,3,1,4,3604
Jorge Molina Vidal,Forward,17,42,67,54,51,0,10,23,22,9,3605
Divock Okoth Origi,Forward,9,8,27,32,45,0,6,28,16,8,134708
Iv\u00e1n Ramis Barrios,Defender,16,24,20,12,2,0,1,5,18,1,3642
Pedro Bigas Rigo,Defender,15,10,6,13,3,0,0,1,15,4,3644
Gonzalo Castro Iriz\u00e1bal,Midfielder,20,22,10,23,28,16,35,12,31,27,3645
Tom\u00e1s Pina Isla,Midfielder,24,28,24,73,14,0,3,5,48,2,3650
Antonio Miguel Ram\u00edrez Mart\u00ednez,Goalkeeper,2,0,0,0,0,0,0,0,1,0,3663
Alberto De La Bella Madure\u00f1o,Defender,21,21,11,23,8,0,26,2,27,12,3667
\u00cd\u00f1igo Mart\u00ednez Berridi,Defender,34,38,31,32,6,0,10,7,36,15,3671
Carlos Mart\u00ednez D\u00edez,Defender,0,0,0,1,0,0,0,0,0,0,3672
Asier Illarramendi Andonegi,Midfielder,65,24,11,33,23,3,10,15,66,16,3676
Rub\u00e9n Pardo Guti\u00e9rrez,Midfielder,3,1,1,1,1,2,1,0,3,0,3677
Xabier Prieto Argarate,Midfielder,24,27,18,13,19,7,23,7,16,15,3678
David Zurutuza Veillet,Midfielder,30,21,18,46,19,0,3,6,46,5,3680
Imanol Agirretxe Arruti,Forward,1,2,4,1,2,0,0,2,1,1,3681
Antoine Griezmann,Forward,38,27,25,33,34,26,14,47,35,39,3682
Carlos Alberto Vela Garrido,Forward,8,2,4,9,18,8,7,8,9,23,3685
Bernardo Jos\u00e9 Espinosa Z\u00fa\u00f1iga,Defender,27,49,39,41,3,0,1,7,41,0,3692
\u00c1lvaro Gonz\u00e1lez Sober\u00f3n,Defender,35,40,28,34,2,0,3,6,36,3,3695
Yannick Ferreira Carrasco,Forward,12,7,5,20,29,4,16,13,17,21,134769
Papakouli Diop,Midfielder,12,21,16,35,6,0,3,5,23,1,3704
Adri\u00e1n  Gonz\u00e1lez Morales,Midfielder,25,36,38,47,14,1,5,12,34,2,3705
Jairo Samperio Bustara,Midfielder,3,4,5,12,7,0,5,4,10,2,3708
Khouma El Hadji Babacar,Forward,6,5,15,24,16,0,3,18,10,4,3710
Cristhian Ricardo Stuani Curbelo,Forward,9,27,66,96,25,0,3,28,24,3,3714
Roberto Jim\u00e9nez Gago,Goalkeeper,6,0,3,0,0,0,0,0,12,0,3719
Nemanja Maksimovi\u0107,Midfielder,6,9,7,4,3,0,3,3,13,6,265864
Sergej Milinkovi\u0107-Savi\u0107,Midfielder,48,25,46,68,56,0,15,42,51,29,265865
Hernani Azevedo J\u00fanior,Midfielder,6,6,6,17,7,12,4,7,14,4,134797
Juan Carlos P\u00e9rez L\u00f3pez,Defender,8,6,5,9,4,0,8,1,14,6,3735
Franco Zuculini,Midfielder,4,3,3,18,5,0,1,2,12,3,3736
Mikel Balenziaga Oruesagasti,Defender,14,19,7,23,10,0,19,1,35,11,3750
